JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    271.00      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  170911 300  064500-065000   00     281.95  974.7    273.92     1.08    -9999
JANG-BOGO  170911 300  065000-065500   00     281.55  974.6    273.32     0.86    -9999
JANG-BOGO  170911 300  065500-070000   00     281.21  974.7    273.14     0.79    -9999
JANG-BOGO  170911 300  070000-070500   00     280.85  974.6    272.64     0.61    -9999
JANG-BOGO  170911 300  070500-071000   00     281.34  974.6    273.14     0.79    -9999
JANG-BOGO  170911 300  071000-071500   00     287.49  974.6    279.03     2.96    -9999
JANG-BOGO  170911 300  071500-072000   00     282.07  974.6    273.81     1.04    -9999
JANG-BOGO  170911 300  072000-072500   00     279.88  974.5    271.57     0.21    -9999
JANG-BOGO  170911 300  072500-073000   00     283.12  974.6    274.88     1.43    -9999
JANG-BOGO  170911 300  073000-073500   00     283.01  974.5    274.63     1.34    -9999
