SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    309.56      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH-POLE 170911 300  055000-055500   00     334.99  671.0    313.42     1.25    -0.28
SOUTH-POLE 170911 300  055500-060000   00     336.73  670.9    314.97     1.74     0.21
SOUTH-POLE 170911 300  060000-060500   00     336.04  671.0    314.44     1.58     0.05
SOUTH-POLE 170911 300  060500-061000   00     334.17  671.0    312.77     1.03    -0.50
SOUTH-POLE 170911 300  061000-061500   00     335.65  671.1    314.32     1.54     0.01
SOUTH-POLE 170911 300  061500-062000   00     336.23  671.1    314.96     1.74     0.22
SOUTH-POLE 170911 300  062000-062500   00     337.24  671.1    315.86     2.03     0.51
SOUTH-POLE 170911 300  062500-063000   00     335.89  671.1    314.65     1.64     0.12
SOUTH-POLE 170911 300  063000-063500   00     334.98  671.1    313.76     1.36    -0.16
SOUTH-POLE 170911 300  063500-064000   00     334.41  671.1    313.22     1.18    -0.34
SOUTH-POLE 170911 300  064000-064500   00     338.47  671.1    317.05     2.42     0.91
SOUTH-POLE 170911 300  064500-065000   00     336.29  671.1    314.95     1.74     0.23
SOUTH-POLE 170911 300  065000-065500   00     333.47  671.1    312.30     0.88    -0.63
SOUTH-POLE 170911 300  065500-070000   00     336.99  671.1    315.62     1.96     0.46
SOUTH-POLE 170911 300  070000-070500   00     336.04  671.1    314.79     1.69     0.19
