IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    417.89      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   170911 300  051500-052000   00     398.40  724.2    425.60     1.84    -9999
IRKUTSK3   170911 300  052000-052500   00     400.40  724.2    427.80     2.37    -9999
IRKUTSK3   170911 300  052500-053000   00     397.60  724.3    425.20     1.75    -9999
IRKUTSK3   170911 300  053000-053500   00     396.80  724.3    424.20     1.51    -9999
IRKUTSK3   170911 300  053500-054000   00     396.60  724.3    423.80     1.41    -9999
IRKUTSK3   170911 300  054000-054500   00     399.80  724.3    427.60     2.32    -9999
IRKUTSK3   170911 300  054500-055000   00     401.40  724.3    429.40     2.75    -9999
IRKUTSK3   170911 300  055000-055500   00     398.20  724.3    426.20     1.99    -9999
IRKUTSK3   170911 300  055500-060000   00     398.20  724.3    426.00     1.94    -9999
IRKUTSK3   170911 300  060000-060500   00     397.00  724.3    424.40     1.56    -9999
IRKUTSK3   170911 300  060500-061000   00     402.20  724.3    429.80     2.85    -9999
IRKUTSK3   170911 300  061000-061500   00     402.20  724.3    429.40     2.75    -9999
IRKUTSK3   170911 300  061500-062000   00     401.80  724.3    429.80     2.85    -9999
IRKUTSK3   170911 300  062000-062500   00     400.20  724.3    428.20     2.47    -9999
IRKUTSK3   170911 300  062500-063000   00     399.00  724.3    426.40     2.04    -9999
IRKUTSK3   170911 300  063000-063500   00     401.20  724.3    429.00     2.66    -9999
IRKUTSK3   170911 300  063500-064000   00     399.00  724.3    426.80     2.13    -9999
IRKUTSK3   170911 300  064000-064500   00     399.80  724.3    427.80     2.37    -9999
IRKUTSK3   170911 300  064500-065000   00     397.80  724.4    425.60     1.84    -9999
IRKUTSK3   170911 300  065000-065500   00     399.20  724.4    427.00     2.18    -9999
IRKUTSK3   170911 300  065500-070000   00     399.40  724.4    427.40     2.28    -9999
IRKUTSK3   170911 300  070000-070500   00     400.60  724.4    428.60     2.56    -9999
IRKUTSK3   170911 300  070500-071000   00     397.80  724.4    425.60     1.84    -9999
IRKUTSK3   170911 300  071000-071500   00     403.20  724.4    431.20     3.18    -9999
IRKUTSK3   170911 300  071500-072000   00     400.00  724.4    428.20     2.47    -9999
IRKUTSK3   170911 300  072000-072500   00     397.00  724.4    424.80     1.65    -9999
IRKUTSK3   170911 300  072500-073000   00     399.20  724.4    426.80     2.13    -9999
IRKUTSK3   170911 300  073000-073500   00     397.20  724.3    425.00     1.70    -9999
IRKUTSK3   170911 300  073500-074000   00     397.20  724.4    425.00     1.70    -9999
