MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.71     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    205.31      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 240511 300  155000-155500   00     212.91  775.6    208.34     1.47    -9999
MEXICOCITY 240511 300  155500-160000   00     211.35  775.6    206.78     0.72    -9999
MEXICOCITY 240511 3600 160000-170000   00     213.26  775.4    208.30     1.46    -9999
MEXICOCITY 240511 3600 170000-180000   00     215.21  774.8    209.35     1.97    -9999
MEXICOCITY 240511 3600 180000-190000   00     214.43  773.9    207.34     0.99    -9999
MEXICOCITY 240511 3600 190000-200000   00     214.33  773.1    205.94     0.31    -9999
MEXICOCITY 240511 3600 200000-210000   00     217.42  772.2    207.68     1.15    -9999
MEXICOCITY 240511 3600 210000-220000   00     219.17  771.6    208.34     1.48    -9999
MEXICOCITY 240511 3600 220000-230000   00     219.45  771.1    207.90     1.26    -9999
MEXICOCITY 240511 3600 230000-240000   00     218.50  771.2    207.15     0.89    -9999
MEXICOCITY 240512 3600 000000-010000   00     215.77  771.8    205.52     0.10    -9999
MEXICOCITY 240512 3600 010000-020000   00     215.30  772.4    205.88     0.28    -9999
MEXICOCITY 240512 3600 020000-030000   00     213.76  774.1    206.87     0.76    -9999
MEXICOCITY 240512 3600 030000-040000   00     211.65  775.8    207.36     1.00    -9999
MEXICOCITY 240512 3600 040000-050000   00     210.18  776.8    207.38     1.01    -9999
MEXICOCITY 240512 3600 050000-060000   00     209.61  777.1    207.27     0.96    -9999
MEXICOCITY 240512 3600 060000-070000   00     210.73  776.3    207.19     0.91    -9999
MEXICOCITY 240512 3600 070000-080000   00     212.39  775.2    207.15     0.90    -9999
MEXICOCITY 240512 3600 080000-090000   00     214.15  774.5    207.82     1.22    -9999
MEXICOCITY 240512 3600 090000-100000   00     214.59  774.2    207.88     1.25    -9999
MEXICOCITY 240512 3600 100000-110000   00     214.05  774.4    207.62     1.12    -9999
MEXICOCITY 240512 3600 110000-120000   00     213.65  774.7    207.66     1.14    -9999
MEXICOCITY 240512 3600 120000-130000   00     213.17  775.1    207.85     1.23    -9999
MEXICOCITY 240512 3600 130000-140000   00     213.11  775.5    208.36     1.49    -9999
MEXICOCITY 240512 3600 140000-150000   00     212.57  775.9    208.41     1.51    -9999
MEXICOCITY 240512 3600 150000-160000   00     211.74  775.8    207.53     1.08    -9999
MEXICOCITY 240512 3600 160000-170000   00     213.51  775.5    208.68     1.64    -9999
