SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    231.08      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 240511 300  125000-125500   00     254.23  670.1    236.02     2.14    -0.62
SOUTH-POLE 240511 300  125500-130000   00     253.96  670.1    235.76     2.03    -0.75
SOUTH-POLE 240511 300  130000-130500   00     255.45  670.1    237.17     2.63    -0.14
SOUTH-POLE 240511 300  130500-131000   00     255.25  670.1    237.01     2.57    -0.22
SOUTH-POLE 240511 300  131000-131500   00     254.51  670.1    236.35     2.28    -0.51
SOUTH-POLE 240511 300  131500-132000   00     255.10  670.1    236.89     2.52    -0.28
SOUTH-POLE 240511 300  132000-132500   00     252.55  670.1    234.55     1.50    -1.30
SOUTH-POLE 240511 300  132500-133000   00     255.04  670.1    236.88     2.51    -0.29
SOUTH-POLE 240511 300  133000-133500   00     253.95  670.2    235.91     2.09    -0.72
SOUTH-POLE 240511 300  133500-134000   00     255.94  670.2    237.82     2.92     0.10
SOUTH-POLE 240511 300  134000-134500   00     253.38  670.3    235.54     1.93    -0.89
SOUTH-POLE 240511 300  134500-135000   00     254.24  670.3    236.43     2.31    -0.51
SOUTH-POLE 240511 300  135000-135500   00     254.77  670.3    236.93     2.53    -0.30
SOUTH-POLE 240511 300  135500-140000   00     255.26  670.3    237.44     2.75    -0.08
SOUTH-POLE 240511 300  140000-140500   00     251.44  670.4    233.94     1.24    -9999
SOUTH-POLE 240511 300  140500-141000   00     253.09  670.4    235.46     1.90    -9999
SOUTH-POLE 240511 300  141000-141500   00     254.48  670.4    236.80     2.48    -9999
SOUTH-POLE 240511 300  141500-142000   00     253.98  670.4    236.37     2.29    -9999
SOUTH-POLE 240511 300  142000-142500   00     253.19  670.4    235.66     1.98    -9999
SOUTH-POLE 240511 300  142500-143000   00     255.13  670.5    237.53     2.79    -9999
SOUTH-POLE 240511 300  143000-143500   00     252.78  670.5    235.35     1.85    -9999
SOUTH-POLE 240511 300  143500-144000   00     253.58  670.5    236.21     2.22    -9999
SOUTH-POLE 240511 300  144000-144500   00     253.74  670.6    236.52     2.35    -9999
SOUTH-POLE 240511 300  144500-145000   00     253.62  670.7    236.52     2.36    -9999
SOUTH-POLE 240511 300  145000-145500   00     254.38  670.7    237.20     2.65    -9999
SOUTH-POLE 240511 300  145500-150000   00     255.85  670.7    238.59     3.25    -9999
SOUTH-POLE 240511 300  150000-150500   00     252.69  670.7    235.71     2.00    -9999
SOUTH-POLE 240511 300  150500-151000   00     252.83  670.7    235.84     2.06    -9999
SOUTH-POLE 240511 300  151000-151500   00     256.90  670.6    239.53     3.66    -9999
SOUTH-POLE 240511 300  151500-152000   00     254.60  670.6    237.27     2.68    -9999
SOUTH-POLE 240511 300  152000-152500   00     254.90  670.6    237.53     2.79    -9999
SOUTH-POLE 240511 300  152500-153000   00     255.32  670.5    237.90     2.95    -9999
SOUTH-POLE 240511 300  153000-153500   00     254.31  670.5    236.86     2.50    -9999
SOUTH-POLE 240511 300  153500-154000   00     255.51  670.5    238.02     3.00    -9999
SOUTH-POLE 240511 300  154000-154500   00     254.93  670.5    237.51     2.78    -9999
SOUTH-POLE 240511 300  154500-155000   00     254.61  670.5    237.20     2.65    -9999
SOUTH-POLE 240511 300  155000-155500   00     254.32  670.6    237.03     2.57    -9999
SOUTH-POLE 240511 300  155500-160000   00     256.74  670.6    239.29     3.56    -9999
SOUTH-POLE 240511 3600 160000-170000   00     256.37  670.7    239.11     3.48    -9999
SOUTH-POLE 240511 3600 170000-180000   00     255.19  671.0    238.49     3.21    -9999
SOUTH-POLE 240511 3600 180000-190000   00     253.51  671.4    237.80     2.91    -9999
SOUTH-POLE 240511 3600 190000-200000   00     252.81  671.6    237.38     2.73    -9999
SOUTH-POLE 240511 3600 200000-210000   00     253.11  671.7    237.85     2.93    -9999
SOUTH-POLE 240511 3600 210000-220000   00     252.78  671.9    237.93     2.97    -9999
SOUTH-POLE 240511 3600 220000-230000   00     249.22  672.4    235.48     1.91    -9999
SOUTH-POLE 240511 3600 230000-240000   00     249.43  672.6    235.95     2.11    -9999
SOUTH-POLE 240512 3600 000000-010000   00     249.17  673.0    236.44     2.32    -9999
SOUTH-POLE 240512 3600 010000-020000   00     248.26  673.4    236.30     2.26    -9999
SOUTH-POLE 240512 3600 020000-030000   00     245.79  673.8    234.67     1.56    -9999
SOUTH-POLE 240512 3600 030000-040000   00     247.11  673.9    236.12     2.18    -9999
SOUTH-POLE 240512 3600 040000-050000   00     247.69  673.9    236.66     2.42    -9999
SOUTH-POLE 240512 3600 050000-060000   00     248.55  674.1    237.90     2.95    -9999
SOUTH-POLE 240512 3600 060000-070000   00     248.66  674.4    238.51     3.22    -9999
SOUTH-POLE 240512 3600 070000-080000   00     248.70  674.9    239.41     3.61    -9999
SOUTH-POLE 240512 3600 080000-090000   00     247.01  675.1    238.06     3.02    -9999
SOUTH-POLE 240512 3600 090000-100000   00     247.22  675.0    238.20     3.08    -9999
