CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    884     MB     COEFFICIENT   -999      % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    245.81      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    240512 3600 110000-120000   00     278.01  883.2    249.44     1.48    -9999
CALGARY    240512 3600 120000-130000   00     278.69  882.9    249.51     1.50    -9999
CALGARY    240512 3600 130000-140000   00     280.32  882.6    250.29     1.82    -9999
CALGARY    240512 3600 140000-150000   00     281.74  882.2    250.73     2.00    -9999
CALGARY    240512 3600 150000-160000   00     282.28  881.8    250.53     1.92    -9999
CALGARY    240512 3600 160000-170000   00     283.84  881.2    250.77     2.02    -9999
CALGARY    240512 3600 170000-180000   00     286.56  880.9    252.48     2.72    -9999
CALGARY    240512 3600 180000-190000   00     288.49  880.6    253.72     3.22    -9999
CALGARY    240512 3600 190000-200000   00     290.93  880.5    255.61     3.99    -9999
CALGARY    240512 3600 200000-210000   00     290.67  880.4    255.20     3.82    -9999
CALGARY    240512 3600 210000-220000   00     292.44  880.1    256.11     4.19    -9999
CALGARY    240512 3600 220000-230000   00     295.08  879.5    257.33     4.69    -9999
CALGARY    240512 3600 230000-240000   00     294.45  879.3    256.34     4.29    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074CALG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
