YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    183.29      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    240511 300  142000-142500   00     178.77 1004.9    181.15    -1.17    -9999
YAKUTSK    240511 300  142500-143000   00     180.83 1004.9    183.25    -0.02    -9999
YAKUTSK    240511 300  143000-143500   00     180.83 1004.9    183.31     0.01    -9999
YAKUTSK    240511 300  143500-144000   00     178.51 1004.9    180.88    -1.32    -9999
YAKUTSK    240511 300  144000-144500   00     178.69 1004.9    181.04    -1.23    -9999
YAKUTSK    240511 300  144500-145000   00     182.83 1004.9    185.28     1.08    -9999
YAKUTSK    240511 300  145000-145500   00     179.63 1004.9    182.05    -0.68    -9999
YAKUTSK    240511 300  145500-150000   00     181.23 1004.9    183.63     0.18    -9999
YAKUTSK    240511 300  150000-150500   00     180.75 1004.9    183.15    -0.08    -9999
YAKUTSK    240511 300  150500-151000   00     179.20 1004.9    181.55    -0.95    -9999
YAKUTSK    240511 300  151000-151500   00     179.89 1004.8    182.19    -0.60    -9999
YAKUTSK    240511 300  151500-152000   00     179.73 1004.8    182.00    -0.71    -9999
YAKUTSK    240511 300  152000-152500   00     182.56 1004.8    184.83     0.84    -9999
YAKUTSK    240511 300  152500-153000   00     179.92 1004.7    182.08    -0.66    -9999
YAKUTSK    240511 300  153000-153500   00     181.47 1004.7    183.60     0.17    -9999
YAKUTSK    240511 300  153500-154000   00     180.35 1004.7    182.45    -0.46    -9999
YAKUTSK    240511 300  154000-154500   00     179.20 1004.6    181.20    -1.14    -9999
YAKUTSK    240511 300  154500-155000   00     178.00 1004.5    179.87    -1.87    -9999
YAKUTSK    240511 300  155000-155500   00     180.56 1004.5    182.43    -0.47    -9999
YAKUTSK    240511 300  155500-160000   00     180.75 1004.5    182.59    -0.38    -9999
YAKUTSK    240511 3600 160000-170000   00     181.85 1004.4    183.61     0.17    -9999
YAKUTSK    240511 3600 170000-180000   00     182.10 1004.1    183.55     0.14    -9999
YAKUTSK    240511 3600 180000-190000   00     183.50 1003.9    184.57     0.70    -9999
YAKUTSK    240511 3600 190000-200000   00     184.54 1003.7    185.45     1.18    -9999
YAKUTSK    240511 3600 200000-210000   00     185.40 1003.5    185.99     1.47    -9999
YAKUTSK    240511 3600 210000-220000   00     186.63 1003.4    187.08     2.07    -9999
